name,desc
泛海控股股份有限公司,泛海建设集团股份有限公司（以下简称泛海建设集团）成立于1989年，为上市公众公司，在 深圳证券交易所 挂牌交易的股票简称“泛海建设”，股票代码为“000046”。公司为房地产综合开发企业，经营范围为：承办国内外投资开发项目，经营房地产业务及物业管理；投资兴办实业（具体项目另行申报）；资产管理；建筑设备、 建筑装饰材料 的购销；自有物业租赁。泛海建设集团控股子公司15家，包括 武汉王家墩中央商务区建设投资股份有限公司 、 通海建设有限公司 、 浙江泛海建设投资有限公司 、 北京泛海信华置业有限公司 、 北京泛海东风置业有限公司 、 北京星火房地产开发有限责任公司 、 深圳市光彩置业有限公司 、 北京光彩置业有限公司 、 深圳市泛海三江电子有限公司 、 泛海物业管理有限公司 、泛海建设集团青岛有限公司、山西泛海建设投资有限公司、 北京大兴经济开发区 建设投资有限公司、 北京山海天物资贸易有限公司 、 大连泛海建设投资有限公司 。泛海建设集团投资兴建并已竣工的房地产项目主要有北京光彩国际公寓、北京 泛海国际居住区 一期项目、深圳荟芳园高层小区、深圳太子山庄一、二期住宅小区、深圳光彩新世纪家园、深圳光彩新天地公寓、深圳光彩山居岁月家园、青岛泛海名人广场一期等。公司在北京、上海、武汉、深圳、浙江等地的项目均按计划开发建设。
深圳市中侨发展股份有限公司,深圳市中侨发展股份有限公司于1988年09月23日在 深圳市市场监督管理局 罗湖局登记成立。法定代表人周宇斌，公司经营范围包括制造、加工机械设备、电子产品、 新型材料 、纺织品等。
深圳市京基智农时代股份有限公司,深圳市京基智农时代股份有限公司于1979年01月01日成立。法定代表人熊伟，公司经营范围包括：一般经营项目是：养殖鸡、鸡苗、禽蛋、生产制造肉制品、饮料、鸡场设备、自酿鲜啤、兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；货物及技术进出口；在合法取得使用权的土地上从事房地产开发经营；房屋租赁等。 [1-2]  
深圳市德赛电池科技股份有限公司,深圳市德赛电池科技股份有限公司 [4]  于1985年09月04日在 深圳市市场监督管理局 南山局登记成立。法定代表人刘其，公司经营范围包括无汞碱锰电池、一次锂电池、 锌空气电池 、镍氢电池等。
中国天楹股份有限公司,中国天楹股份有限公司于1984年12月31日在 南通市工商行政管理局 登记成立，法定代表人严圣军。2021年7月，2021年《财富》中国500强排行榜发布，中国天楹股份有限公司排名第441位。 [8]  2021年10月25日，被江苏省人民政府授予2021年江苏省省长质量奖提名奖。 [10]  
深圳市桑达实业股份有限公司,深圳市桑达实业股份有限公司（简称：桑达股份）成立于1993年9月，同年10月在 深圳证券交易所 主板 挂牌上市 （简称： 深桑达A ， 股票代码 ：000032），是 中国电子信息产业集团有限公司 （CEC）旗下企业。 [1-2]  
东旭蓝天新能源股份有限公司,东旭蓝天新能源股份有限公司于1982年03月23日在 深圳市市场监督管理局 罗湖局登记成立。法定代表人郑小将。
天马微电子股份有限公司,天马微电子股份有限公司（证券简称：深天马A，证券代码：000050），成立于1983年，1995年在 深圳证券交易所 上市 [1]  ，是一家在全球范围内提供客制化显示解决方案和快速服务支持的创新型科技企业 [2]  。
中国国际海运集装箱（集团）股份有限公司,"中国国际海运集装箱（集团）股份有限公司（简称：中集集团），是世界领先的 物流装备 和 能源装备 供应商，总部位于中国深圳。公司致力于在如下主要的 业务领域：集装箱、 道路运输 车辆、能源和化工装备、 海洋工程 、 物流服务 、空港设备等，提供高品质与可信赖的装备和服务。支持这些业务蓬勃发展的有：提供专业 资金管理 的 财务公司 ，以及融资服务的 融资租赁公司 。就 市场占有率 而言, 中集有10多个产品持续多年保持全球第一。作为一家为全球市场服务的 跨国经营 集团，中集在 亚洲 、 北美 、 欧洲 、 澳洲 等地区拥有200余家成员企业，客户和销售网络分布在全球100多个 国家和地区 。2013年，6.4万优秀的中集员工，创造了578.7亿元的 销售业绩 ， 净利润 21.1亿元。2016年8月，中国 国际海运 集装箱（集团）在""2016 中国企业500强 ""中排名第232位。2018年10月11日，福布斯发布 2018年全球最佳雇主榜单 ，中集集团位列第367位。 [1]  2019年9月，2019 中国制造业企业500强 榜单发布，中集集团位列第89位。 [2]  2020年7月， 2020年《财富》中国500强 ，中集集团排名第118位。 [3]  2021年7月，广东供销集团有限公司与中集集团签署战略合作框架协议。 [22]  2023年3月，中集集团发生工商变更，公司 注册资本 由约35.95亿元 人民币 增至约53.93亿元人民币。 [29]  "
方大集团股份有限公司,方大集团股份有限公司（ 深圳证券交易所 A股 代码000055、 B股 代码200055）1991年12月创立于 深圳 ，现 注册资本 38798.76万元 人民币 ， 总资产 16亿元人民币。方大集团成立以来，秉承“科技为本、创新为源”的 经营理念 ，不断成长、壮大，现已形成 新型建材 产业、 机电一体化 产业和 半导体照明 产业等 三大产业 体系，成为国内知名的大型 高新技术企业 ，产品畅销国内外。
